fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,k_value,l_value,m_value,percentage_free_sulphur,n_value
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0,8.1,4.05,0.636,30.90909091,0.608
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,0,8.68,4.34,0.778,26.8,0.829
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,0,8.56,4.28,0.742,36,0.744
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,1,11.48,5.74,0.655,35.29411765,0.7195
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0,8.1,4.05,0.636,30.90909091,0.608
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,0,8.06,4.03,0.635,30.76923077,0.5775
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,0,8.5,4.25,0.529,39.33333333,0.5265
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,1,7.95,3.975,0.535,14,0.3925
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,1,8.38,4.19,0.643,20,0.6405
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,0,8,4,0.871,60,1.9375
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,0,7.28,3.64,0.637,43.33333333,0.6045
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,0,8,4,0.871,60,1.9375
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,0,6.215,3.1075,0.609,36.875,0.5245
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,0,8.41,4.205,1.674,32.22222222,0.595
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,0,9.52,4.76,1.056,27.88461538,1.264
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,0,9.52,4.76,1.1,29.01960784,1.293
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,1,8.78,4.39,0.842,29.42857143,0.698
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,0,8.66,4.33,1.648,35,0.75
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,0,7.99,3.995,0.586,48.33333333,1.379
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,1,8.22,4.11,1.421,32.94117647,0.8125
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,1,9.12,4.56,0.607,20.68965517,0.6745
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,0,7.99,3.995,0.732,30.86956522,0.793
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0,8.33,4.165,1.016,37,0.575
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,0,8.99,4.495,0.614,74.44444444,0.754
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,1,7.3,3.65,0.715,19.04761905,0.7905
